dataset_variant,target,method,model,split,unit,encounter_id,retrieved_encounter_id,similarity_score,rouge_l,chrf,token_f1
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,ENC00852,ENC00108,0.142736,0.0,0.11096474510854262,0.0
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,ENC00853,ENC00140,0.127325,0.0,0.09747431095745704,0.0
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,ENC00854,ENC00108,0.163148,0.0,0.11728871291740661,0.0
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,ENC00855,ENC00299,0.162885,0.0,0.07319512638661574,0.0
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,ENC00856,ENC00395,0.15031,0.0,0.018315018315018316,0.0
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,ENC00857,ENC00535,0.28549,0.0,0.04807692307692307,0.0
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,ENC00858,ENC00135,0.143883,0.0,0.061330731649189694,0.0
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,ENC00859,ENC00230,0.169251,0.0,0.019597221891069203,0.0
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,ENC00860,ENC00650,0.12218,0.0,0.28055555555555556,0.0
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,ENC00861,ENC00460,0.141688,0.0,0.03367226549866686,0.0
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,ENC00862,ENC00397,0.170951,0.15384615384615383,0.08883011201844339,0.15384615384615383
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,ENC00863,ENC00230,0.163046,0.0,0.04463609153595514,0.0
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,ENC00864,ENC00222,0.156105,0.0,0.11479092381699933,0.0
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,ENC00865,ENC00207,0.359331,0.0,0.08079853887654513,0.0
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,ENC00866,ENC00474,0.175432,0.0,0.04901960784313726,0.0
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,ENC00867,ENC00497,0.146957,0.0,0.07286133997598378,0.0
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,ENC00868,ENC00759,0.123225,0.0,0.121799566663615,0.0
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,ENC00869,ENC00061,0.1084,0.0,0.061397437262627336,0.0
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,ENC00870,ENC00061,0.146952,0.0,0.09092784553994324,0.0
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,ENC00871,ENC00554,0.187054,0.0,0.07142857142857142,0.0
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,ENC00872,ENC00839,0.21638,0.0,0.0191131498470948,0.0
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,ENC00873,ENC00722,0.224017,0.0,0.024242424242424242,0.0
