dimension,stratum,method,n,chrf,rouge_l,token_f1,bertscore_f1,mean_score
reference_length,long_61_plus,zero_shot,32,0.264042613774719,0.12229715322735088,0.20197699619417359,0.6530826352536678,0.3103498496124778
reference_length,long_61_plus,zero_shot_rag,32,0.26749362518686565,0.12161512050628681,0.1992467879342022,0.656704057008028,0.3112648976588457
reference_length,long_61_plus,lora,32,0.11964185936284513,0.07222520807218902,0.06513725882232232,0.5724742747843266,0.20736965026042076
reference_length,long_61_plus,lora_rag,32,0.12523134917558484,0.05783058710954192,0.042475003822495055,0.5669599622488022,0.198124225589106
reference_length,medium_21_60,zero_shot,123,0.2599856088699865,0.10565123467067371,0.1473614070018178,0.6614899368790107,0.29362204685537224
reference_length,medium_21_60,zero_shot_rag,123,0.25542636315124456,0.10703896474151631,0.14302789023184811,0.6564253680105132,0.29047964653378056
reference_length,medium_21_60,lora,123,0.1897582772030452,0.09683336596288371,0.1212461465658178,0.6319279447803653,0.25994143362802796
reference_length,medium_21_60,lora_rag,123,0.1312999672569295,0.04406975996586668,0.03933387348528629,0.5562397101061131,0.19273582770354886
reference_length,short_0_20,zero_shot,159,0.1617091628771905,0.057888282566248776,0.06164916725578827,0.6330861111856857,0.2285831809712283
reference_length,short_0_20,zero_shot_rag,159,0.14834069250178128,0.05686058894712545,0.05967957739180681,0.6277108394874716,0.2231479245820463
reference_length,short_0_20,lora,159,0.16051350754850766,0.0706312740137591,0.07524902408772387,0.6190439691333651,0.23135944369583897
reference_length,short_0_20,lora_rag,159,0.11128538388550807,0.03501974821491661,0.02681434605651772,0.5619989669173019,0.18377961126856107
question_length,long_61_plus,zero_shot,121,0.23199971771381592,0.08724380102763045,0.11867871704541591,0.6520379550200849,0.2724900477017368
question_length,long_61_plus,zero_shot_rag,121,0.2158141469346232,0.08664096780176735,0.11087251340773861,0.6440449041768539,0.26434313308024576
question_length,long_61_plus,lora,121,0.19310931499116288,0.09983017038470723,0.12810436169213676,0.6498753472793201,0.26772979858683177
question_length,long_61_plus,lora_rag,121,0.12542612227161987,0.04294423219237147,0.03712906727894874,0.5563391750016489,0.19045964918614725
question_length,medium_21_60,zero_shot,157,0.20148139846774893,0.08381393902442522,0.1077481234981005,0.6459173742373279,0.2597402088069006
question_length,medium_21_60,zero_shot_rag,157,0.19670776078136926,0.08411522801871575,0.10685469630478897,0.6434547415204869,0.2577831066563402
question_length,medium_21_60,lora,157,0.16078492465499844,0.07740039345779091,0.07994164444409552,0.6107976159472375,0.2322311446260306
question_length,medium_21_60,lora_rag,157,0.11380814671349533,0.03915657021479693,0.03135352911096534,0.5596150165530527,0.18598331564807757
question_length,short_0_20,zero_shot,36,0.17874458406845373,0.06659887068398912,0.086509843928066,0.6282493869463602,0.2400256714067173
question_length,short_0_20,zero_shot_rag,36,0.1824105155444899,0.06690728497356692,0.09071164098668977,0.6280290484428406,0.24201462248689676
question_length,short_0_20,lora,36,0.11336097252869037,0.0339103014030471,0.02529992214962377,0.5540045102437338,0.18164392658127376
question_length,short_0_20,lora_rag,36,0.13353431542033486,0.04154071140218379,0.029045177022833792,0.5761511416898834,0.19506783638380892
image_count,multiple_images,zero_shot,296,0.2127774780773934,0.08452142197912843,0.11146222236247418,0.6472443605999689,0.2640013707547412
image_count,multiple_images,zero_shot_rag,296,0.2037707566746654,0.08406848307627385,0.10760387151643189,0.6424217026781391,0.25946620348637756
image_count,multiple_images,lora,296,0.16741374416963534,0.08090123906127036,0.09211384516027037,0.6179720008292714,0.23960020730511183
image_count,multiple_images,lora_rag,296,0.12027867635882923,0.04033915249297681,0.03292432370621571,0.5578694377799291,0.18785289758448773
image_count,single_image,zero_shot,18,0.1754009399091222,0.060805932776646414,0.07767315076750676,0.629903750287162,0.23594594343510933
image_count,single_image,zero_shot_rag,18,0.18040360031472524,0.06744662063464299,0.0892574749358463,0.6335583097404904,0.2426665014064263
image_count,single_image,lora,18,0.1742215011992366,0.0836286932109123,0.09425360957877613,0.6419218248791165,0.24850640721701042
image_count,single_image,lora_rag,18,0.12495483232240984,0.04993944953097491,0.03973043149758458,0.5993714051114188,0.20349902961559707
