dataset_variant,target,method,model,split,unit,n,sacrebleu,chrf_corpus,chrf_mean,rouge_l_mean,token_f1_mean,bertscore_f1_mean,mean_latency_s,source,notes
dataset_enriched,enriched_answer,retrieval_tfidf,TF-IDF,valid,case,56,8.675,30.099,0.299,0.205,0.255,0.710,,outputs/metrics/dataset_enriched/retrieval_textual,retrieval textual enriched; ROUGE-L/token-F1 recomputed from legacy prediction CSVs
dataset_enriched,enriched_answer,retrieval_tfidf,TF-IDF,test,case,100,8.266,26.990,0.286,0.216,0.256,0.716,,outputs/metrics/dataset_enriched/retrieval_textual,retrieval textual enriched; ROUGE-L/token-F1 recomputed from legacy prediction CSVs
dataset_enriched,enriched_answer,retrieval_e5,intfloat/multilingual-e5-small,valid,case,56,7.940,30.535,0.304,0.196,0.251,0.708,,outputs/metrics/dataset_enriched/retrieval_textual,retrieval textual enriched; ROUGE-L/token-F1 recomputed from legacy prediction CSVs
dataset_enriched,enriched_answer,retrieval_e5,intfloat/multilingual-e5-small,test,case,100,8.555,30.091,0.308,0.212,0.259,0.714,,outputs/metrics/dataset_enriched/retrieval_textual,retrieval textual enriched; ROUGE-L/token-F1 recomputed from legacy prediction CSVs
dataset_enriched,enriched_answer,retrieval_sbert,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,valid,case,56,7.918,28.006,0.285,0.201,0.238,0.718,,outputs/metrics/dataset_enriched/retrieval_textual,retrieval textual enriched; ROUGE-L/token-F1 recomputed from legacy prediction CSVs
dataset_enriched,enriched_answer,retrieval_sbert,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,test,case,100,8.795,29.816,0.309,0.222,0.269,0.720,,outputs/metrics/dataset_enriched/retrieval_textual,retrieval textual enriched; ROUGE-L/token-F1 recomputed from legacy prediction CSVs
dataset_enriched,enriched_answer,vlm_lora,Qwen/Qwen2.5-VL-3B-Instruct + LoRA,valid,image,157,10.904,35.705,0.361,0.243,0.305,0.737,15.960,outputs/metrics/dataset_enriched/metrics_mixed.csv,VLM enriched evaluated per image; RAG uses E5 retrieval when method name includes rag
dataset_enriched,enriched_answer,vlm_lora,Qwen/Qwen2.5-VL-3B-Instruct + LoRA,test,image,314,11.598,35.691,0.365,0.254,0.317,0.738,14.967,outputs/metrics/dataset_enriched/metrics_mixed.csv,VLM enriched evaluated per image; RAG uses E5 retrieval when method name includes rag
dataset_enriched,enriched_answer,vlm_zero_shot,Qwen/Qwen2.5-VL-3B-Instruct,valid,image,157,1.072,32.454,0.307,0.121,0.191,0.682,15.323,outputs/metrics/dataset_enriched/metrics_mixed.csv,VLM enriched evaluated per image; RAG uses E5 retrieval when method name includes rag
dataset_enriched,enriched_answer,vlm_zero_shot_rag_e5_small_enriched,Qwen/Qwen2.5-VL-3B-Instruct,valid,image,157,1.178,33.298,0.315,0.128,0.196,0.685,17.754,outputs/metrics/dataset_enriched/metrics_mixed.csv,VLM enriched evaluated per image; RAG uses E5 retrieval when method name includes rag
